# Lu-177 Combined Beta Spectrum
# Energy(MeV) Probability
0.001000 4.368998e-03
0.006020 1.035207e-02
0.011040 1.353190e-02
0.016061 1.574692e-02
0.021081 1.739837e-02
0.026101 1.866143e-02
0.031121 1.963347e-02
0.036141 2.037627e-02
0.041162 2.093262e-02
0.046182 2.133394e-02
0.051202 2.160443e-02
0.056222 2.176333e-02
0.061242 2.182642e-02
0.066263 2.180689e-02
0.071283 2.171601e-02
0.076303 2.156355e-02
0.081323 2.135806e-02
0.086343 2.110718e-02
0.091364 2.081774e-02
0.096384 2.049593e-02
0.101404 2.014739e-02
0.106424 1.977731e-02
0.111444 1.939047e-02
0.116465 1.899134e-02
0.121485 1.858406e-02
0.126505 1.817252e-02
0.131525 1.776039e-02
0.136545 1.735113e-02
0.141566 1.694802e-02
0.146586 1.655417e-02
0.151606 1.617256e-02
0.156626 1.580602e-02
0.161646 1.545727e-02
0.166667 1.512892e-02
0.171687 1.482347e-02
0.176707 1.454230e-02
0.181727 1.426287e-02
0.186747 1.397575e-02
0.191768 1.368165e-02
0.196788 1.338125e-02
0.201808 1.307522e-02
0.206828 1.276418e-02
0.211848 1.244874e-02
0.216869 1.212950e-02
0.221889 1.180701e-02
0.226909 1.148183e-02
0.231929 1.115448e-02
0.236949 1.082548e-02
0.241970 1.049533e-02
0.246990 1.016450e-02
0.252010 9.833466e-03
0.257030 9.502682e-03
0.262051 9.172590e-03
0.267071 8.843621e-03
0.272091 8.516197e-03
0.277111 8.190725e-03
0.282131 7.867606e-03
0.287152 7.547230e-03
0.292172 7.229978e-03
0.297192 6.916222e-03
0.302212 6.606329e-03
0.307232 6.300653e-03
0.312253 5.999545e-03
0.317273 5.703348e-03
0.322293 5.412395e-03
0.327313 5.127018e-03
0.332333 4.847538e-03
0.337354 4.574273e-03
0.342374 4.307534e-03
0.347394 4.047626e-03
0.352414 3.794851e-03
0.357434 3.549504e-03
0.362455 3.311875e-03
0.367475 3.082250e-03
0.372495 2.860912e-03
0.377515 2.648136e-03
0.382535 2.444197e-03
0.387556 2.248667e-03
0.392576 2.059960e-03
0.397596 1.878189e-03
0.402616 1.703562e-03
0.407636 1.536284e-03
0.412657 1.376558e-03
0.417677 1.224582e-03
0.422697 1.080553e-03
0.427717 9.446656e-04
0.432737 8.171113e-04
0.437758 6.980792e-04
0.442778 5.877563e-04
0.447798 4.863272e-04
0.452818 3.939742e-04
0.457838 3.108777e-04
0.462859 2.372158e-04
0.467879 1.731646e-04
0.472899 1.188985e-04
0.477919 7.458954e-05
0.482939 4.040827e-05
0.487960 1.652326e-05
0.492980 3.101321e-06
0.498000 0.000000e+00
